id,Slug,title,Description,Lab description,Html description,Html lab description
13,classic-diamond-bracelet-d-s017,Classic Diamond Bracelet | D_S017,This contemporary take on a classic diamond bracelet features 1.90ct of round brilliant cut diamonds in hexagonal settings to give a modern look. Diamond Colour G-H Clarity SI. Please call for prices in Platinum.,Chagne This contemporary take on a classic diamond bracelet features 1.90ct of round brilliant cut diamonds in hexagonal settings to give a modern look. Diamond Color D-E Clarity VVS. Please call for prices in Platinum.,This contemporary take on a classic diamond bracelet features 1.90ct of round brilliant cut diamonds in hexagonal settings to give a modern look. Diamond Colour G-H Clarity SI. Please call for prices in Platinum.,This contemporary take on a classic diamond bracelet features 1.90ct of round brilliant cut diamonds in hexagonal settings to give a modern look. Diamond Color D-E Clarity VVS. Please call for prices in Platinum.
14,classic-diamond-bracelet-round-cut-ds013,Classic Diamond Bracelet | Round Cut | DS013,"This contemporary take on a classic diamond bracelet features 2.70ct of round brilliant cut diamonds graduating in size towards the centre, truly elegant. We also offer the earring to match. Diamond Colour G-H Clarity SI. Please call for prices in Platinum","Change This contemporary take on a classic diamond bracelet features 2.70ct of round brilliant cut diamonds graduating in size towards the centre, truly elegant. We alsChao offer the earring to match. Diamond Color D-E Clarity VVS. Please call for prices in Platinum","<p>This contemporary take on a classic diamond bracelet features 2.70ct of round brilliant cut diamonds graduating in size towards the centre, truly elegant. We also offer the earring to match. Diamond Colour G-H Clarity SI. Please call for prices in Platinum</p><p></p>","<p>This contemporary take on a classic diamond bracelet features 2.70ct of round brilliant cut diamonds graduating in size towards the centre, truly elegant. We also offer the earring to match. Diamond Color D-E Clarity VVS. Please call for prices in Platinum</p><p></p>"
15,diamond-bracelet-d-s028,Diamond Bracelet | D_S028,Mined The irresistible show of bracelet looks bigger than a normal bracelet. The diamond is set within gold surrounds to give a bigger look. Diamond Clarity G-H SI. Please call for prices in Platinum.,Change lab The irresistible show of bracelet looks bigger than a normal bracelet. The diamond is set within gold surrounds to give a bigger look. Diamond Color D-E Clarity VVS. Please call for prices in Platinum.,The irresistible show of bracelet looks bigger than a normal bracelet. The diamond is set within gold surrounds to give a bigger look. Diamond Clarity G-H SI. Please call for prices in Platinum.,The irresistible show of bracelet looks bigger than a normal bracelet. The diamond is set within gold surrounds to give a bigger look. Diamond Color D-E Clarity VVS. Please call for prices in Platinum.
16,diamond-bracelet-trilogy-style-d-s006,Diamond Bracelet | Trilogy Style | D_S006,This beautiful bracelet design features diamonds grouped together in a trilogy style. Total diamond weight: 1.90ct. Diamond Colour G-H Clarity SI. Please call for prices in Platinum,Change The irresistible show of bracelet looks bigger than a normal bracelet. The diamond is set within gold surrounds to give a bigger look. Diamond Color D-E Clarity VVS. Please call for prices in Platinum.,<p>This beautiful bracelet design features diamonds grouped together in a trilogy style. Total diamond weight: 1.90ct. Diamond Colour G-H Clarity SI. Please call for prices in Platinum<br></p>,<p>This beautiful bracelet design features diamonds grouped together in a trilogy style. Total diamond weight: 1.90ct. Diamond Color D-E Clarity VVS. Please call for prices in Platinum<br></p>
17,diamond-drop-earrings-round-cut-d-s001,Diamond Drop Earrings | Round Cut | D_S001,"These stunning diamond drop earrings feature 0.66ct of round brilliant cut diamonds grouped in fours, really adding that extra sparkle. Diamond Colour G-H Clarity SI. Please call for prices in Platinum","These stunning diamond drop earrings feature 0.66ct of round brilliant cut diamonds grouped in fours, really adding that extra sparkle. Diamond Color D-E Clarity VVS. Please call for prices in Platinum","These stunning diamond drop earrings feature 0.66ct of round brilliant cut diamonds grouped in fours, really adding that extra sparkle. Diamond Colour G-H Clarity SI. Please call for prices in Platinum","These stunning diamond drop earrings feature 0.66ct of round brilliant cut diamonds grouped in fours, really adding that extra sparkle. Diamond Color D-E Clarity VVS. Please call for prices in Platinum"
18,diamond-drop-earrings-round-cut-d-s016,Diamond Drop Earrings | Round Cut | D_S016,These beautiful diamond drop earrings feature two rows of round brilliant cut diamonds totaling 0.50ct giving a very classic look. Diamond Colour G-H Clarity SI. Please call for prices in Platinum,These beautiful diamond drop earrings feature two rows of round brilliant cut diamonds totaling 0.50ct giving a very classic look. Diamond Color D-E Clarity VVS. Please call for prices in Platinum,<p>These beautiful diamond drop earrings feature two rows of round brilliant cut diamonds totaling 0.50ct giving a very classic look. Diamond Colour G-H Clarity SI. Please call for prices in Platinum<br></p>,<p>These beautiful diamond drop earrings feature two rows of round brilliant cut diamonds totaling 0.50ct giving a very classic look. Diamond Color D-E Clarity VVS. Please call for prices in Platinum<br></p>
19,diamond-earrings-emerald-cut-stud-d-s026,Diamond Earrings | Emerald Cut Stud | D_S026,"Simply stunning, these emerald cut stud earrings offer you timeless elegance, a truly classic pair of earrings. Matches the diamond pendant perfectly. Diamond Colour G-H Clarity SI. Please call for prices in Platinum","Simply stunning, these emerald cut stud earrings offer you timeless elegance, a truly classic pair of earrings. Matches the diamond pendant perfectly. Diamond Color D-E Clarity VVS. Please call for prices in Platinum","Simply stunning, these emerald cut stud earrings offer you timeless elegance, a truly classic pair of earrings. Matches the diamond pendant perfectly. Diamond Colour G-H Clarity SI. Please call for prices in Platinum","Simply stunning, these emerald cut stud earrings offer you timeless elegance, a truly classic pair of earrings. Matches the diamond pendant perfectly. Diamond Color D-E Clarity VVS. Please call for prices in Platinum"
20,diamond-earrings-flower-arrangement-d-s002,Diamond Earrings | Flower Arrangement | D_S002,"These beautiful earrings feature 0.67ct of round brilliant cut diamonds in a flower arrangement, they look stunning with the matching pendant. Diamond Colour G-H Clarity SI. Please call for prices in Platinum","These beautiful earrings feature 0.67ct of round brilliant cut diamonds in a flower arrangement, they look stunning with the matching pendant. Diamond Color D-E Clarity VVS. Please call for prices in Platinum","These beautiful earrings feature 0.67ct of round brilliant cut diamonds in a flower arrangement, they look stunning with the matching pendant. Diamond Colour G-H Clarity SI. Please call for prices in Platinum","These beautiful earrings feature 0.67ct of round brilliant cut diamonds in a flower arrangement, they look stunning with the matching pendant. Diamond Color D-E Clarity VVS. Please call for prices in Platinum"
21,diamond-earrings-pear-cut-stud-d-s024,Diamond Earrings | Pear Cut Stud | D_S024,"Simply stunning, these pear cut stud earrings offer you timeless elegance, a truly classic pair of earrings. Matches the diamond pendant perfectly. Diamond Colour G-H Clarity SI. Please call for prices in Platinum","Simply stunning, these pear cut stud earrings offer you timeless elegance, a truly classic pair of earrings. Matches the diamond pendant perfectly. Diamond Color D-E Clarity VVS. Please call for prices in Platinum","<p>Simply stunning, these pear cut stud earrings offer you timeless elegance, a truly classic pair of earrings. Matches the diamond pendant perfectly. Diamond Colour G-H Clarity SI. Please call for prices in Platinum<br></p>","<p>Simply stunning, these pear cut stud earrings offer you timeless elegance, a truly classic pair of earrings. Matches the diamond pendant perfectly. Diamond Color D-E Clarity VVS. Please call for prices in Platinum<br></p>"
22,diamond-earrings-princess-cut-d-s022,Diamond Earrings | Princess Cut | D_S022,"Simply stunning, these princess cut stud earrings offer you timeless elegance, a truly classic pair of earrings. Matches the diamond pendant perfectly. Diamond Colour G-H Clarity SI. Please call for prices in Platinum","Simply stunning, these princess cut stud earrings offer you timeless elegance, a truly classic pair of earrings. Matches the diamond pendant perfectly. Diamond Color D-E Clarity VVS. Please call for prices in Platinum","<p>Simply stunning, these princess cut stud earrings offer you timeless elegance, a truly classic pair of earrings. Matches the diamond pendant perfectly. Diamond Colour G-H Clarity SI. Please call for prices in Platinum<br></p>","<p>Simply stunning, these princess cut stud earrings offer you timeless elegance, a truly classic pair of earrings. Matches the diamond pendant perfectly. Diamond Color D-E Clarity VVS. Please call for prices in Platinum<br></p>"
